% pa
21三体综合症 ershiyisantizonghezheng
心地善良 xindishanliang
心坎 xinkan
心境 xinjing
心声 xinsheng
心头 xintou
心头肉 xintourou
心如刀割 xinrudaoge
心如刀绞 xinrudaojiao
心如止水 xinruzhishui
心孔 xinkong
心存不满 xincunbuman
心存怀疑 xincunhuaiyi
心学 xinxue
心安理得 xinanlide
心安神闲 xinanshenxian
心室 xinshi
心宽体胖 xinkuantipan
心宿二 Xinxiuer
心寒 xinhan
心尖 xinjian
心平气和 xinpingqihe
心广体胖 xinguangtipan
心底 xindi
心弦 xinxian
心影儿 xinyinger
心律不整 xinlu:buzheng
心律不齐 xinlu:buqi
心律失常 xinlu:shichang
心得 xinde
心得安 xindean
心心相印 xinxinxiangyin
心志 xinzhi
心怀 xinhuai
心怀叵测 xinhuaipoce
心态 xintai
心思 xinsi
心急 xinji
心急吃不了热豆腐 xinjichibuliaoredoufu
心急火燎 xinjihuoliao
心怦怦跳 xinpengpengtiao
心性 xinxing
心悦诚服 xinyuechengfu
心悸 xinji
心情 xinqing
心惊 xinjing
心惊肉跳 xinjingroutiao
心惊胆战 xinjingdanzhan
心惊胆颤 xinjingdanchan
心想 xinxiang
心想事成 xinxiangshicheng
心意 xinyi
心愿 xinyuan
心愿单 xinyuandan
心慌 xinhuang
心房 xinfang
心房颤动 xinfangchandong
心扉 xinfei
心折 xinzhe
心拙口夯 xinzhuokouben
心拙口笨 xinzhuokouben
心搏 xinbo
心无二用 xinwueryong
心旷神怡 xinkuangshenyi
心智 xinzhi
心有余悸 xinyouyuji
心有余而力不足 xinyouyuerlibuzu
心有余，力不足 xinyouyu,libuzu
心有灵犀一点通 xinyoulingxiyidiantong
心服 xinfu
心服口服 xinfukoufu
心术 xinshu
心机 xinji
心杂音 xinzayin
心材 xincai
心梗 xingeng
心毒 xindu
心毒手辣 xindushoula
心气 xinqi
心满意足 xinmanyizu
心潮澎湃 xinchaopengpai
心灰意冷 xinhuiyileng
心灰意懒 xinhuiyilan
心灵 xinling
心灵上 xinlingshang
心灵感应 xinlingganying
心灵手巧 xinlingshouqiao
心烦 xinfan
心烦意乱 xinfanyiluan
心焦 xinjiao
心照 xinzhao
心照不宣 xinzhaobuxuan
心爱 xinai
心狠手辣 xinhenshoula
心猿意马 xinyuanyima
心率 xinlu:
心理 xinli
心理作用 xinlizuoyong
心理学 xinlixue
心理学家 xinlixuejia
心理战 xinlizhan
心理素质 xinlisuzhi
心理诊所 xinlizhensuo
心理词典 xinlicidian
心理防线 xinlifangxian
心瓣 xinban
心甘 xingan
心甘情愿 xinganqingyuan
心田 xintian
心电图 xindiantu
心电感应 xindianganying
心疑 xinyi
心疼 xinteng
心病 xinbing
心痛 xintong
心目 xinmu
心直口快 xinzhikoukuai
心直嘴快 xinzhizuikuai
心眼 xinyan
心眼儿 xinyanr
心眼多 xinyanduo
心眼大 xinyanda
心眼好 xinyanhao
心眼小 xinyanxiao
心知肚明 xinzhiduming
心砰砰跳 xinpengpengtiao
心硬 xinying
心碎 xinsui
心神 xinshen
心神不宁 xinshenbuning
心神不安 xinshenbuan
心神不属 xinshenbuzhu
心神专注 xinshenzhuanzhu
心神恍惚 xinshenhuanghu
心秀 xinxiu
心窄 xinzhai
心窍 xinqiao
心窝儿 xinwor
心算 xinsuan
心细 xinxi
心经 Xinjing
心结 xinjie
心绞痛 xinjiaotong
心绪 xinxu
心绪不宁 xinxubuning
心羡 xinxian
心肌 xinji
心肌梗塞 xinjigengse
心肌梗死 xinjigengsi
心肌炎 xinjiyan
心肝 xingan
心肠 xinchang
心肺复苏术 xinfeifusushu
心胆 xindan
心胆俱裂 xindanjulie
心胸 xinxiong
心胸开阔 xinxiongkaikuo
心胸狭窄 xinxiongxiazhai
心胸狭隘 xinxiongxiaai
心脏 xinzang
心脏搭桥手术 xinzangdaqiaoshoushu
心脏收缩压 xinzangshousuoya
心脏杂音 xinzangzayin
心脏疾患 xinzangjihuan
心脏病 xinzangbing
心脏移殖 xinzangyizhi
心脏舒张压 xinzangshuzhangya
心腹 xinfu
心腹之患 xinfuzhihuan
心花怒放 xinhuanufang
心荡神驰 xindangshenchi
心虚 xinxu
心血 xinxue
心血来潮 xinxuelaichao
心血管 xinxueguan
心血管疾病 xinxueguanjibing
心计 xinji
心许 xinxu
心路 xinlu
心跳 xintiao
心轮 xinlun
心软 xinruan
心轴 xinzhou
心迹 xinji
心酸 xinsuan
心醉 xinzui
心醉神迷 xinzuishenmi
心里 xinli
心里有数 xinliyoushu
心里有谱 xinliyoupu
心里痒痒 xinliyangyang
心里美萝卜 xinlimeiluobo
心里话 xinlihua
心重 xinzhong
心静 xinjing
心静自然凉 xinjingziranliang
心音 xinyin
心领 xinling
心领神会 xinlingshenhui
心领神悟 xinlingshenwu
心驰神往 xinchishenwang
心高气傲 xingaoqiao
必 bi
必不可少 bibukeshao
必不可少组成 bibukeshaozucheng
必不可缺 bibukeque
必修 bixiu
必修课 bixiuke
必和必拓 BihuoBituo
必备 bibei
必定 biding
必将 bijiang
必应 Biying
必得 bidei
必恭必敬 bigongbijing
必有重谢 biyouzhongxie
必死之症 bisizhizheng
必然 biran
必然王国 biranwangguo
必然结果 biranjieguo
必由之路 biyouzhilu
必经 bijing
必经之路 bijingzhilu
必胜客 BishengKe
必要 biyao
必要性 biyaoxing
必要条件 biyaotiaojian
必需 bixu
必需品 bixupin
必须 bixu
忆 yi
忆苦思甜 yikusitian
忆苦饭 yikufan
忆述 yisu
忉 dao
忌 ji
忌口 jikou
忌妒 jidu
忌恨 jihen
忌惮 jidan
忌讳 jihui
忌辰 jichen
忍 ren
忍不住 renbuzhu
忍俊 renjun
忍俊不禁 renjunbujin
忍冬 rendong
忍受 renshou
忍垢偷生 rengoutousheng
忍得住 rendezhu
忍心 renxin
忍无可忍 renwukeren
忍气吞声 renqitunsheng
忍痛 rentong
忍痛割爱 rentonggeai
忍者 renzhe
忍者神龟 RenzheShengui
忍者龟 RenzheGui
忍耐 rennai
忍耐力 rennaili
忍耻 renchi
忍让 renrang
忍辱偷生 renrutousheng
忍辱含垢 renruhangou
忍辱求全 renruqiuquan
忍辱负重 renrufuzhong
忍饥挨饿 renjiaie
忏 chan
忏悔 chanhui
忐 tan
忐忑 tante
忐忑不安 tantebuan
忑 te
忒 te
忒 tei
忕 shi
忕 tai
忖 cun
忖度 cunduo
忖思 cunsi
忖量 cunliang
志 zhi
志 zhi
志不在此 zhibuzaici
志丹 Zhidan
志丹县 Zhidanxian
志同道合 zhitongdaohe
志向 zhixiang
志哀 zhiai
志在四方 zhizaisifang
志士仁人 zhishirenren
志工 zhigong
志得意满 zhideyiman
志愿 zhiyuan
志愿兵 zhiyuanbing
志愿军 zhiyuanjun
志愿者 zhiyuanzhe
志气 zhiqi
志留系 Zhiliuxi
志留纪 Zhiliuji
志贺氏菌病 zhiheshijunbing
志趣 zhiqu
志高气扬 zhigaoqiyang
忘 wang
忘不了 wangbuliao
忘乎所以 wanghusuoyi
忘八 wangba
忘八旦 wangbadan
忘八蛋 wangbadan
忘其所以 wangqisuoyi
忘却 wangque
忘年交 wangnianjiao
忘忧草 wangyoucao
忘怀 wanghuai
忘性 wangxing
忘恩 wangen
忘恩负义 wangenfuyi
忘情 wangqing
忘我 wangwo
忘掉 wangdiao
忘本 wangben
忘记 wangji
忘记密码 wangjimima
忘餐 wangcan
忘餐废寝 wangcanfeiqin
忙 mang
忙不过来 mangbuguolai
忙不迭 mangbudie
忙中有失 mangzhongyoushi
忙中有错 mangzhongyoucuo
忙乎 manghu
忙乱 mangluan
忙于 mangyu
忙忙叨叨 mangmangdaodao
忙活 manghuo
忙着 mangzhe
忙碌 manglu
忙进忙出 mangjinmangchu
忛 fan
応 ying
忝 tian
忞 min
忞 min
忞 wen
忠 zhong
忠义 zhongyi
忠于 zhongyu
忠信 zhongxin
忠勇 zhongyong
忠南大学校 ZhongnanDaxuexiao
忠厚 zhonghou
忠县 Zhongxian
忠君爱国 zhongjunaiguo
忠告 zhonggao
忠实 zhongshi
忠心 zhongxin
忠心耿耿 zhongxingenggeng
忠清 Zhongqing
忠清北道 Zhongqingbeidao
忠清南道 Zhongqingnandao
忠清道 Zhongqingdao
忠烈 zhonglie
忠臣 zhongchen
忠言 zhongyan
忠言逆耳 zhongyannier
忠诚 zhongcheng
忠贞 zhongzhen
忠贞不渝 zhongzhenbuyu
忡 chong
忤 wu
忤逆 wuni
忧 you
忧伤 youshang
忧心 youxin
忧心忡忡 youxinchongchong
忧思 yousi
忧悒 youyi
忧患 youhuan
忧惧 youju
忧愁 youchou
忧灼 youzhuo
忧苦以终 youkuyizhong
忧虑 youlu:
忧郁 youyu
忧郁症 youyuzheng
忧闷 youmen
忪 zhong
快 kuai
快中子 kuaizhongzi
快乐 kuaile
快乐大本营 KuaileDabenying
快乐幸福 kuailexingfu
快件 kuaijian
快信 kuaixin
快刀斩乱麻 kuaidaozhanluanma
快刀断乱麻 kuaidaoduanluanma
快取 kuaiqu
快可立 Kuaikeli
快嘴 kuaizui
快快乐乐 kuaikuailele
快意 kuaiyi
快感 kuaigan
快感中心 kuaiganzhongxin
快慢 kuaiman
快慰 kuaiwei
快报 kuaibao
快捷 kuaijie
快捷方式 kuaijiefangshi
快捷键 kuaijiejian
快攻 kuaigong
快板 kuaiban
快板儿 kuaibanr
快步 kuaibu
快步流星 kuaibuliuxing
快步跑 kuaibupao
快活 kuaihuo
快点 kuaidian
快点儿 kuaidianr
快照 kuaizhao
快熟面 kuaishumian
快班 kuaiban
快船 Kuaichuan
快艇 kuaiting
快行道 kuaixingdao
快要 kuaiyao
快讯 kuaixun
快跑 kuaipao
快车 kuaiche
快车道 kuaichedao
快进 kuaijin
快退 kuaitui
快递 kuaidi
快速 kuaisu
快速以太网络 kuaisuyitaiwangluo
快速动眼期 kuaisudongyanqi
快速记忆法 kuaisujiyifa
快门 kuaimen
快餐 kuaican
快餐交友 kuaicanjiaoyou
快餐店 kuaicandian
快餐部 kuaicanbu
快马加鞭 kuaimajiabian
忬 shu
忬 yu
忭 bian
忮 zhi
忱 chen
忲 tai
念 nian
念 nian
念书 nianshu
念佛 nianfo
念兹在兹 nianzizaizi
念力 nianli
念叨 niandao
念咒 nianzhou
念头 niantou
念学位 nianxuewei
念念不忘 niannianbuwang
念念有词 niannianyouci
念念有词 niannianyouci
念日 nianri
念旧 nianjiu
念珠 nianzhu
念珠菌症 nianzhujunzheng
念经 nianjing
念诵 niansong
忸 niu
忸忸怩怩 niuniunini
忸怩 niuni
忻 xin
忻城 Xincheng
忻城县 Xinchengxian
忻州 Xinzhou
忻州市 Xinzhoushi
忻府 Xinfu
忻府区 Xinfuqu
忽 Hu
忽 hu
忽上忽下 hushanghuxia
忽冷忽热 hulenghure
忽哨 hushao
忽地 hude
忽布 hubu
忽微 huwei
忽必烈 Hubilie
忽忽 huhu
忽忽悠悠 huhuyouyou
忽悠 huyou
忽然 huran
忽略 hulu:e
忽而 huer
忽视 hushi
忽闪 hushan
忽闻 huwen
忽隐忽现 huyinhuxian
忽鲁谟斯 Hulumosi
忾 kai
忿 fen
忿忿 fenfen
忿忿不平 fenfenbuping
忿怒 fennu
忿恨 fenhen
忿懑 fenmen
怀 Huai
怀 huai
怀乡 huaixiang
怀仁 Huairen
怀仁县 Huairenxian
怀俄明 Huaieming
怀俄明州 Huaiemingzhou
怀化 Huaihua
怀化县 Huaihuaxian
怀化市 Huaihuashi
怀古 huaigu
怀妊 huairen
怀孕 huaiyun
怀宁 Huaining
怀宁县 Huainingxian
怀安 Huaian
怀安县 Huaianxian
怀念 huainian
怀恨 huaihen
怀恨在心 huaihenzaixin
怀才不遇 huaicaibuyu
怀抱 huaibao
怀敌意 huaidiyi
怀旧 huaijiu
怀旧感 huaijiugan
怀春 huaichun
怀来 Huailai
怀来县 Huailaixian
怀柔 Huairou
怀柔 huairou
怀柔区 Huairouqu
怀柔县 Huairouxian
怀特 Huaite
怀璧其罪 huaibiqizui
怀疑 huaiyi
怀疑派 huaiyipai
怀疑者 huaiyizhe
怀禄 huailu
怀胎 huaitai
怀表 huaibiao
怀远 Huaiyuan
怀远县 Huaiyuanxian
怀里 huaili
怀集 Huaiji
怀集县 Huaijixian
态 tai
态势 taishi
态叠加 taidiejia
态子 taizi
态射 taishe
态度 taidu
态样 taiyang
怂 song
怂恿 songyong
怃 wu
怄 ou
怄气 ouqi
怅 chang
怅惘 changwang
怅然 changran
怆 chuang
怍 zuo
怎 zen
怎么 zenme
怎么 zenme
怎么了 zenmele
怎么了 zenmele
怎么办 zenmeban
怎么回事 zenmehuishi
怎么得了 zenmedeliao
怎么搞的 zenmegaode
怎么样 zenmeyang
怎么着 zenmezhao
怎样 zenyang
怎生 zensheng
怎的 zende
怎能 zenneng
怏 yang
怒 nu
怒不可遏 nubukee
怒冲冲 nuchongchong
怒发冲冠 nufachongguan
怒吼 nuhou
怒容 nurong
怒容满面 nurongmanmian
怒形于色 nuxingyuse
怒恨 nuhen
怒放 nufang
怒斥 nuchi
怒族 Nuzu
怒气 nuqi
怒气冲冲 nuqichongchong
怒江 Nujiang
怒江傈僳族自治区 NujiangLisuzuZizhiqu
怒江傈僳族自治州 NujiangLisuzuzizhizhou
怒江大峡谷 NujiangDaxiagu
怒江州 Nujiangzhou
怒潮 nuchao
怒火 nuhuo
怒目 numu
怒目切齿 numuqiechi
怒目相向 numuxiangxiang
怒目而视 numuershi
怒色 nuse
怒视 nushi
怒骂 numa
怔 zheng
怔 zheng
怔忡 zhengchong
怔忪 zhengzhong
怔怔 zhengzheng
怔神儿 zhengshenr
怕 Pa
怕 pa
怕事 pashi
怕死鬼 pasigui
怕生 pasheng
怕痒 payang
怕羞 paxiu
怕老婆 palaopo
怖 bu
怗 tie
怙 hu
怙恃 hushi
怙恶不悛 huebuquan
怚 ju
怛 da
怜 lian
怜悯 lianmin
怜惜 lianxi
怜爱 lianai
怜香惜玉 lianxiangxiyu
思 si
思之心痛 sizhixintong
思乐冰 Silebing
思乡 sixiang
思乡病 sixiangbing
思亲 siqin
思前想后 siqianxianghou
思南 Sinan
思南县 Sinanxian
思嘉丽 Sijiali
思忖 sicun
思念 sinian
思恋 silian
思情 siqing
思惟 siwei
思想 sixiang
思想交流 sixiangjiaoliu
思想体系 sixiangtixi
思想包袱 sixiangbaofu
思想史 sixiangshi
思想家 sixiangjia
思想库 sixiangku
思想意识 sixiangyishi
思想素质 sixiangsuzhi
思想顽钝 sixiangwandun
思慕 simu
思明 Siming
思明区 Simingqu
思春 sichun
思春期 sichunqi
思潮 sichao
思潮起伏 sichaoqifu
思科 Sike
思索 sisuo
思绪 sixu
思维 siwei
思维敏捷 siweiminjie
思考 sikao
思茅 Simao
思茅区 Simaoqu
思茅地区 Simaodiqu
思茅市 Simaoshi
思虑 silu:
思觉失调 sijueshitiao
思议 siyi
思谋 simou
思路 silu
思路敏捷 siluminjie
思过 siguo
思量 siliang
怞 zhou
怠 dai
怠工 daigong
怠忽 daihu
怠惰 daiduo
怠慢 daiman
怡 yi
怡人 yiren
怡保 Yibao
怡保市 Yibaoshi
怡悦 yiyue
怡然 yiran
怡然自得 yiranzide
怡颜悦色 yiyanyuese
急 ji
急不可待 jibukedai
急不可耐 jibukenai
急中生智 jizhongshengzhi
急于 jiyu
急于星火 jiyuxinghuo
急于求成 jiyuqiucheng
急人之难 jirenzhinan
急促 jicu
急先锋 jixianfeng
急公好义 jigonghaoyi
急切 jiqie
急刹车 jishache
急剧 jiju
急功近利 jigongjinli
急务 jiwu
急匆匆 jicongcong
急吼吼 jihouhou
急嘴急舌 jizuijishe
急噪 jizao
急如星火 jiruxinghuo
急待 jidai
急忙 jimang
急急忙忙 jijimangmang
急性 jixing
急性人 jixingren
急性子 jixingzi
急性氰化物中毒 jixingqinghuawuzhongdu
急性照射 jixingzhaoshe
急性病 jixingbing
急性肠炎 jixingchangyan
急性阑尾炎 jixinglanweiyan
急拍拍 jipaipai
急救 jijiu
急救站 jijiuzhan
急智 jizhi
急板 jiban
急派 jipai
急流 jiliu
急用 jiyong
急症 jizheng
急眼 jiyan
急着 jizhe
急行军 jixingjun
急袭 jixi
急要 jiyao
急诊 jizhen
急诊室 jizhenshi
急赤白脸 jichibailian
急躁 jizao
急转 jizhuan
急转弯 jizhuanwan
急转直下 jizhuanzhixia
急迫 jipo
急速 jisu
急遽 jiju
急难 jinan
急需 jixu
急驰 jichi
急骤 jizhou
怦 peng
怦怦 pengpeng
怦然 pengran
怦然心动 pengranxindong
性 xing
性乐 xingle
性事 xingshi
性交 xingjiao
性交易 xingjiaoyi
性交高潮 xingjiaogaochao
性产业 xingchanye
性价比 xingjiabi
性伙伴 xinghuoban
性传播 xingchuanbo
性伴 xingban
性伴侣 xingbanlu:
性侵 xingqin
性侵害 xingqinhai
性侵犯 xingqinfan
性偏好 xingpianhao
性健康 xingjiankang
性关系 xingguanxi
性冲动 xingchongdong
性冷感 xinglenggan
性冷淡 xinglengdan
性别 xingbie
性别歧视 xingbieqishi
性别比 xingbiebi
性别角色 xingbiejuese
性别认同障碍 xingbierentongzhangai
性取向 xingquxiang
性变态 xingbiantai
性同一性障碍 xingtongyixingzhangai
性向 xingxiang
性命 xingming
性命攸关 xingmingyouguan
性善 xingshan
性器 xingqi
性器官 xingqiguan
性地 xingdi
性媾 xinggou
性子 xingzi
性学 xingxue
性工作 xinggongzuo
性征 xingzheng
性快感 xingkuaigan
性急 xingji
性恶论 xingelun
性情 xingqing
性感 xinggan
性成熟 xingchengshu
性指向 xingzhixiang
性接触 xingjiechu
性教育 xingjiaoyu
性服务 xingfuwu
性服务产业 xingfuwuchanye
性格 xingge
性格不合 xinggebuhe
性欲 xingyu
性欲高潮 xingyugaochao
性满足 xingmanzu
性激素 xingjisu
性爱 xingai
性物恋 xingwulian
性状 xingzhuang
性生活 xingshenghuo
性疾病 xingjibing
性病 xingbing
性瘾 xingyin
性短讯 xingduanxun
性禁忌 xingjinji
性细胞 xingxibao
性能 xingneng
性腺 xingxian
性虐待 xingnu:edai
性行 xingxing
性行为 xingxingwei
性质 xingzhi
性质命题 xingzhimingti
性骚扰 xingsaorao
性高潮 xinggaochao
怨 yuan
怨不得 yuanbude
怨偶 yuanou
怨命 yuanming
怨声 yuansheng
怨声载道 yuanshengzaidao
怨天尤人 yuantianyouren
怨天载道 yuantianzaidao
怨女 yuannu:
怨怼 yuandui
怨恨 yuanhen
怨愤 yuanfen
怨气 yuanqi
怨耦 yuanou
怨艾 yuanyi
怨言 yuanyan
怩 ni
怪 guai
怪 guai
怪不得 guaibude
怪事 guaishi
怪人 guairen
怪人奥尔・扬科维奇 guairenAoer·Yangkeweiqi
怪僻 guaipi
怪兽 guaishou
怪叔叔 guaishushu
怪味 guaiwei
怪咖 guaika
怪圈 guaiquan
怪声怪气 guaishengguaiqi
怪异 guaiyi
怪念头 guainiantou
怪手 guaishou
怪杰 guaijie
怪样 guaiyang
怪模怪样 guaimoguaiyang
怪气 guaiqi
怪物 guaiwu
怪物似 guaiwusi
怪癖 guaipi
怪相 guaixiang
怪秘 guaimi
怪罪 guaizui
怪胎 guaitai
怪蜀黍 guaishushu
怪讶 guaiya
怪话 guaihua
怪诞 guaidan
怪诞不经 guaidanbujing
怪道 guaidao
怪里怪气 guailiguaiqi
怫 fei
怫 fu
怫然 furan
怭 bi
怯 qie
怯场 qiechang
怯声怯气 qieshengqieqi
怯子 qiezi
怯弱 qieruo
怯懦 qienuo
怯生 qiesheng
怯生生 qieshengsheng
怯羞 qiexiu
怲 bing
怵 chu
怵惕 chuti
怵惧 chuju
怵然 churan
怵目惊心 chumujingxin
怸 xi
怹 tan
总 zong
总主教 zongzhujiao
总之 zongzhi
总书记 zongshuji
总产值 zongchanzhi
总产量 zongchanliang
总人口 zongrenkou
总价 zongjia
总会三明治 zonghuisanmingzhi
总会会长 zonghuihuizhang
总体 zongti
总体上说 zongtishangshuo
总体目标 zongtimubiao
总体经济学 zongtijingjixue
总体规划 zongtiguihua
总供给 zonggongji
总值 zongzhi
总公司 zonggongsi
总共 zonggong
总决赛 zongjuesai
总分 zongfen
总则 zongze
总务 zongwu
总动员 zongdongyuan
总卵黄管 zongluanhuangguan
总参谋部 zongcanmoubu
总参谋长 zongcanmouzhang
总台 zongtai
总司令 zongsiling
总司令部 zongsilingbu
总合 zonghe
总后勤部 zonghouqinbu
总吨位 zongdunwei
总和 zonghe
总回报 zonghuibao
总局 zongju
总干事 zongganshi
总平面图 zongpingmiantu
总开关 zongkaiguan
总归 zonggui
总得 zongdei
总成本 zongchengben
总括 zongkuo
总指挥部 zongzhihuibu
总揽 zonglan
总收入 zongshouru
总收益 zongshouyi
总政治部 zongzhengzhibu
总数 zongshu
总方针 zongfangzhen
总是 zongshi
总有 zongyou
总机 zongji
总杆赛 zonggansai
总次数 zongcishu
总热值 zongrezhi
总理 zongli
总理衙门 zongliyamen
总的来说 zongdelaishuo
总监 zongjian
总目 zongmu
总督 zongdu
总社 zongshe
总称 zongcheng
总站 zongzhan
总算 zongsuan
总管理处 zongguanlichu
总线 zongxian
总经理 zongjingli
总结 zongjie
总统 zongtong
总统任期 zongtongrenqi
总统制 zongtongzhi
总统大选 zongtongdaxuan
总统府 zongtongfu
总统选举 zongtongxuanju
总编 zongbian
总编辑 zongbianji
总署 zongshu
总而言之 zongeryanzhi
总能 zongneng
总裁 zongcai
总装备部 ZongZhuangbeibu
总要 zongyao
总览 zonglan
总角之交 zongjiaozhijiao
总角之好 zongjiaozhihao
总计 zongji
总谱 zongpu
总运单 zongyundan
总部 zongbu
总重 zongzhong
总量 zongliang
总长 zongzhang
总集 zongji
总需求 zongxuqiu
总领事 zonglingshi
总领事馆 zonglingshiguan
总领馆 zonglingguan
总额 zonge
总风险 zongfengxian
怼 dui
怿 yi
恁 nen
恁 nin
恁么 renme
恁般 renban
恂 xun
恃 shi
恃强欺弱 shiqiangqiruo
恃才傲物 shicaiaowu
恇 kuang
恉 zhi
恋 lian
恋人 lianren
恋家 lianjia
恋尸癖 lianshipi
恋念 liannian
恋恋不舍 lianlianbushe
恋情 lianqing
恋慕 lianmu
恋战 lianzhan
恋旧 lianjiu
恋旧情结 lianjiuqingjie
恋栈 lianzhan
恋歌 liange
恋母情结 lianmuqingjie
恋爱 lianai
恋物 lianwu
恋物狂 lianwukuang
恋物癖 lianwupi
恋童犯 liantongfan
恋童癖 liantongpi
恋脚癖 lianjiaopi
恋脚癖者 lianjiaopizhe
恌 tiao
恍 huang
恍 huang
恍如 huangru
恍如隔世 huangrugeshi
恍忽 huanghu
恍惚 huanghu
恍然 huangran
恍然大悟 huangrandawu
恍然醒悟 huangranxingwu
恍神 huangshen
恍若 huangruo
恍若隔世 huangruogeshi
恏 hao
恐 kong
恐同 kongtong
恐同症 kongtongzheng
恐吓 konghe
恐怕 kongpa
恐怖 kongbu
恐怖主义 kongbuzhuyi
恐怖主义者 kongbuzhuyizhe
恐怖分子 kongbufenzi
恐怖片 kongbupian
恐怖片儿 kongbupianr
恐怖电影 kongbudianying
恐怖症 kongbuzheng
恐怖组织 kongbuzuzhi
恐怖袭击 kongbuxiji
恐惧 kongju
恐惧症 kongjuzheng
恐慌 konghuang
恐慌发作 konghuangfazuo
恐旷症 kongkuangzheng
恐水病 kongshuibing
恐水症 kongshuizheng
恐法症 kongFazheng
恐韩症 kongHanzheng
恐高症 konggaozheng
恐鸟 kongniao
恐龙 konglong
恐龙妹 konglongmei
恐龙总目 konglongzongmu
恐龙类 konglonglei
恒 Heng
恒 heng
恒 heng
恒久 hengjiu
恒力 hengli
恒加速度 hengjiasudu
恒定 hengding
恒山 HengShan
恒山区 HengshanQu
恒常 hengchang
恒心 hengxin
恒星 hengxing
恒星年 hengxingnian
恒星系 hengxingxi
恒星际 hengxingji
恒春 Hengchun
恒春半岛 HengchunBandao
恒春镇 Hengchunzhen
恒河 HengHe
恒河沙数 Hengheshashu
恒河猴 Henghehou
恒温 hengwen
恒温器 hengwenqi
恒牙 hengya
恒生 HengSheng
恒生中资企业指数 HengshengZhongziqiyezhishu
恒生指数 HengShengzhishu
恒生银行 HengShengYinhang
恒等 hengdeng
恒等式 hengdengshi
恒速率 hengsulu:
恓 xi
恓惶 xihuang
恔 xiao
恕 shu
恕罪 shuzui
恘 qiu
恙 yang
恙虫病 yangchongbing
恚 hui
恛 hui
恝 jia
恞 yi
恟 xiong
恢 hui
恢复 huifu
恢复原状 huifuyuanzhuang
恢复名誉 huifumingyu
恢复常态 huifuchangtai
恢复期 huifuqi
恢宏 huihong
恢弘 huihong
恢恢 huihui
恢恢有余 huihuiyouyu
恣 zi
恣情 ziqing
恣意 ziyi
恣意妄为 ziyiwangwei
恣意行乐 ziyixingle
恣欲 ziyu
恣肆 zisi
恣行无忌 zixingwuji
恤 xu
恤 xu
恤 xu
恤 xu
恤匮 xukui
恤嫠 xuli
恤衫 xushan
恧 nu:
恨 hen
恨不得 henbude
恨不能 henbuneng
恨之入骨 henzhirugu
恨事 henshi
恨人 henren
恨恶 henwu
恨意 henyi
恨海难填 henhainantian
恨透 hentou
恨铁不成钢 hentiebuchenggang
恩 en
恩 en
恩义 enyi
恩人 enren
恩仇 enchou
恩俸 enfeng
恩公 engong
恩典 endian
恩准 enzhun
恩同再造 entongzaizao
恩培多克勒 Enpeiduokelei
恩威兼施 enweijianshi
恩宠 enchong
恩将仇报 enjiangchoubao
恩师 enshi
恩平 Enping
恩平市 Enpingshi
恩德 ende
恩怨 enyuan
恩情 enqing
恩惠 enhui
恩慈 enci
恩断义绝 enduanyijue
恩斯赫德 Ensihede
恩施 Enshi
恩施县 Enshixian
恩施土家族苗族自治州 EnshiTujiazuMiaozuzizhizhou
恩施地区 Enshidiqu
恩施市 Enshishi
恩格尔 Engeer
恩格斯 Engesi
恩比天大 enbitianda
恩泽 enze
恩爱 enai
恩眄 enmian
恩膏 engao
恩贾梅纳 Enjiameina
恩赐 enci
恩里科・费米 Enlike·Feimi
恪 Ke
恪 ke
恪 ke
恪守 keshou
恪慎 keshen
恪遵 kezun
恫 dong
恫吓 donghe
恬 tian
恬不知耻 tianbuzhichi
恬和 tianhe
恬噪 tianzao
恬愉 tianyu
恬愉之安 tianyuzhian
恬波 tianbo
恬淡 tiandan
恬漠 tianmo
恬澹 tiandan
恬然 tianran
恬畅 tianchang
恬美 tianmei
恬谧 tianmi
恬退 tiantui
恬适 tianshi
恬逸 tianyi
恬雅 tianya
恬静 tianjing
恭 gong
恭亲王 Gongqinwang
恭亲王奕䜣 GongqinwangYixin
恭候 gonghou
恭喜 gongxi
恭喜发财 gongxifacai
恭城 Gongcheng
恭城县 Gongchengxian
恭城瑶族自治县 GongchengYaozuzizhixian
恭惟 gongwei
恭敬 gongjing
恭敬不如从命 gongjingburucongming
恭祝 gongzhu
恭维 gongwei
恭贺 gonghe
恭贺佳节 gonghejiajie
恭贺新禧 gonghexinxi
恭顺 gongshun
息 xi
息事宁人 xishiningren
息县 Xixian
息峰县 Xifengxian
息怒 xinu
息息相关 xixixiangguan
息烽 Xifeng
息烽县 Xifengxian
息率 xilu:
息票 xipiao
息肉 xirou
恰 qia
恰似 qiasi
恰到好处 qiadaohaochu
恰好 qiahao
恰如 qiaru
恰如其份 qiaruqifen
恰如其分 qiaruqifen
恰巧 qiaqiao
恰帕斯州 Qiapasizhou
恰当 qiadang
恰恰 qiaqia
恰恰舞 qiaqiawu
恰遇 qiayu
恳 ken
恳切 kenqie
恳求 kenqiu
恳请 kenqing
恳辞 kenci
恵 hui
恶 e
恶 e
恶 e
恶 wu
恶习 exi
恶事 eshi
恶事传千里 eshichuanqianli
恶人 eren
恶人先告状 erenxiangaozhuang
恶仗 ezhang
恶作剧 ezuoju
恶俗 esu
恶凶凶 exiongxiong
恶创 echuang
恶劣 elie
